Body_value,CA-value,Cheeks-value,Eye_Ap-value,Eyebrows-value,Eyegaze-value,Head-value
LEAN,null,null,WD,eyebrow movement,side,PUSH
LEAN,null,null,WD,eyebrow movement,side,PUSH
LEAN,null,null,WD,eyebrow movement,side & UpDn,null
LEAN,null,null,WD,eyebrow movement,side & UpDn,TURN
LEAN,null,cheek movement,WD,eyebrow movement,side > UpDn,TURN > TILT
LEAN,null,null,null,eyebrow movement,UpDn,TURN
null,CA,null,null,eyebrow movement,UpDn,TURN
null,CA,null,null,eyebrow movement,null,TURN
SHOULDERS,null,null,null,null,side,PUSH
SHOULDERS,CA,null,null,eyebrow movement,side,PUSH & TILT
SHOULDERS,null,null,null,eyebrow movement,side,TURN > PUSH
null,CA,null,null,eyebrow movement,side & UpDn,PUSH > TURN
null,null,null,CLOSED,eyebrow movement,UpDn,TILT
null,null,null,CLOSED,null,UpDn,TILT > TURN
null,null,null,null,null,UpDn,TURN
null,null,null,null,null,UpDn,PUSH
null,CA,null,//,null,side & UpDn,TILT
null,null,null,//,null,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn,null
LEAN,null,null,null,eyebrow movement,side & UpDn,null
LEAN,null,null,null,null,side & UpDn,null
LEAN,null,null,null,null,side & UpDn,TILT
LEAN,null,cheek movement,SQ,eyebrow movement,side & UpDn,TILT > TURN
LEAN,CA,cheek movement,SQ,null,side & UpDn,TURN
LEAN,null,null,SQ,null,side & UpDn,TURN
LEAN,null,null,// > SQ,null,side & UpDn,TURN
LEAN,null,null,SQ > //,eyebrow movement,side & UpDn,TURN > PUSH
null,null,null,//,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,//,null,side & UpDn > side,TURN > PUSH
LEAN,CA,null,WD,eyebrow movement,side,PUSH
SHOULDERS,CA,null,WD,eyebrow movement,side & UpDn,null
SHOULDERS,CA,null,WD,null,side & UpDn,null
SHOULDERS,CA,null,null,null,side,TURN
SHOULDERS,CA,null,null,null,side,TURN & TILT
LEAN,CA,null,null,null,side,TILT > TURN
LEAN,CA,null,null,null,side,TURN
LEAN,CA,null,null,null,side,TURN
LEAN,CA,null,null,eyebrow movement,side,TURN
LEAN,null,null,SQ,eyebrow movement,side,TILT
LEAN,null,null,SQ,eyebrow movement,side,TILT
null,null,null,SQ,eyebrow movement,side,TILT
null,null,null,SQ,eyebrow movement,side,TILT > Headnod
SHOULDERS,null,null,//,eyebrow movement,side,TILT
SHOULDERS,CA,null,// > CLOSED,eyebrow movement,side,TILT > Headnod > TURN
LEAN,CA,null,CLOSED,eyebrow movement,side & UpDn,TURN > PUSH
LEAN,CD,null,WD,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,WD,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,WD,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,WD,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,WD,eyebrow movement,side,TURN
LEAN,CD,null,WD,eyebrow movement,side,TURN
LEAN,CD,null,WD > //,eyebrow movement,side & UpDn,TURN
LEAN,CD,null,//,eyebrow movement,side & UpDn,Headnod
null,CD,null,null,eyebrow movement,side & UpDn,Headnod
null,CD,null,null,eyebrow movement,side & UpDn,Headnod
TWIST,CD,null,null,eyebrow movement,side & UpDn,Headnod
TWIST,CD,null,null,null,side,TURN
TWIST,CD,null,null,null,side,TURN
null,CD,null,//,eyebrow movement,UpDn > side,Headshake > TURN > Headshake
null,CD,null,//,null,side & UpDn,TURN
null,null,null,null,null,side & UpDn,TURN
SHOULDERS,null,null,null,null,side & UpDn > +hands,TURN
SHOULDERS,CA,null,//,null,+hands,PUSH
SHOULDERS,CA,null,null,null,+hands,PUSH
SHOULDERS,CA,null,SQ,null,+hands,TILT
SHOULDERS,CA,null,SQ,eyebrow movement,+hands,TILT
SHOULDERS,null,null,SQ,eyebrow movement,+hands,TILT
SHOULDERS,null,null,SQ,eyebrow movement,side & UpDn,TILT
SHOULDERS,null,null,SQ,eyebrow movement,side & UpDn,TILT
null,CA,null,null,null,side & UpDn,TURN
null,CA,null,null,null,side & UpDn,TURN
null,CA,null,//,null,side & UpDn,TURN
null,CA,null,//,null,side & UpDn,TURN
null,CA,null,//,null,side & UpDn,TURN
null,CA,null,null,null,side,TURN
null,null,null,//,eyebrow movement,side & UpDn,TURN > TILT
null,null,null,null,eyebrow movement,side & UpDn,TILT > Headshake
null,null,null,null,eyebrow movement,side & UpDn,Headshake
null,null,null,null,eyebrow movement,side & UpDn,Headshake
LEAN,null,null,//,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,SQ,eyebrow movement,side & UpDn,TILT
null,CA,null,SQ,eyebrow movement,side & UpDn,TILT
null,CA,null,SQ,eyebrow movement,side & UpDn,TILT
null,CA,null,SQ,null,side & UpDn,TILT
null,CA,null,SQ,null,side & UpDn,TILT
null,null,null,SQ,null,side & UpDn,TILT
null,null,null,SQ,null,side & UpDn,TILT
null,null,null,SQ,null,side & UpDn,TILT
null,null,null,null,null,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,CA,null,null,eyebrow movement,side & UpDn,TILT
SHOULDERS,null,null,null,eyebrow movement,side,TURN
SHOULDERS,null,null,null,eyebrow movement,side,TURN
SHOULDERS,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,null,side,TURN
null,null,null,null,null,side,TURN
LEAN,CA,null,null,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,null,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,null,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,null,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,null,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,CLOSED,null,side & UpDn,TURN > Headshake
LEAN,null,null,CLOSED > //,null,null,null
LEAN,null,null,null,null,side,null
LEAN,null,null,//,null,side,null
LEAN,null,null,null,null,side,null
LEAN,null,null,null,null,side,null
LEAN,null,null,null,null,side,null
LEAN,null,null,//,eyebrow movement,side,null
LEAN,CA,null,// > WD,eyebrow movement,side,TURN > PUSH
LEAN,CA,null,WD,eyebrow movement,side,PUSH
null,CA,null,WD,eyebrow movement,side,PUSH
null,CA,null,WD,eyebrow movement,side,PUSH
null,CA,null,WD,eyebrow movement,side,TURN
null,CA,null,SQ,eyebrow movement,side,TURN
null,CA,null,SQ > //,eyebrow movement,side,TURN > TILT
LEAN,CA,null,//,null,side,TILT
LEAN,CA,null,null,null,side,TILT
LEAN,CA,null,null,null,side,TURN
LEAN,CA,null,null,null,side,TURN
null,null,null,null,null,side,TURN
LEAN,null,null,null,null,side,TURN
LEAN,null,null,null,null,side > UpDn,TURN > TILT
LEAN,null,null,null,null,UpDn,TILT
LEAN,null,null,null,null,side,TILT
null,CA,null,SQ,eyebrow movement,side,TURN
null,null,null,SQ,eyebrow movement,null,TILT
null,CA,null,SQ,eyebrow movement,side,TILT > PUSH
null,CA,null,SQ,null,side,PUSH
null,CA,null,//,null,side,PUSH
LEAN,CA,null,null,null,side,PUSH
LEAN,null,null,null,null,side,PUSH
LEAN,null,null,null,eyebrow movement,side,PUSH > TILT
LEAN,null,null,null,eyebrow movement,side,TILT
LEAN,null,null,null,eyebrow movement,side,TILT > TURN
null,CA,null,WD,eyebrow movement,side,TURN > PUSH
null,null,null,WD,eyebrow movement,side,null
null,null,null,WD,eyebrow movement,side & UpDn,PUSH
null,CA,null,null,eyebrow movement,side & UpDn > side,PUSH
LEAN,CA,null,null,eyebrow movement,side,PUSH
LEAN,CA,null,null,eyebrow movement,side,PUSH
LEAN,null,null,null,eyebrow movement,side,TURN
LEAN,CA,null,null,eyebrow movement,side,TURN > TILT > TURN
LEAN,null,null,null,eyebrow movement,side,TURN
LEAN,null,null,null,eyebrow movement,side,TURN
LEAN,null,null,//,eyebrow movement,side > UpDn,TILT
SHOULDERS,null,null,SQ,eyebrow movement,UpDn,PUSH
SHOULDERS,null,null,SQ,eyebrow movement,null,PUSH
LEAN,null,null,SQ,eyebrow movement,side,PUSH
LEAN,null,null,SQ,eyebrow movement,side,TURN
LEAN,CA,null,null,null,side,TURN
LEAN,CA,null,null,null,side & UpDn,TURN
LEAN,CA,null,null,null,side & UpDn,TURN
LEAN,null,null,null,eyebrow movement,side,TILT
null,CA,null,null,eyebrow movement,side,TILT
LEAN,null,null,WD,eyebrow movement,UpDn,TILT
LEAN,CA,null,WD,eyebrow movement,UpDn > side,null
LEAN,CA,null,null,eyebrow movement,side,TURN
LEAN,null,null,null,eyebrow movement,side,TURN
null,null,null,//,null,side > +dh,TURN
null,null,null,null,null,+dh,null
LEAN,null,null,null,null,+dh,null
LEAN,null,null,null,eyebrow movement,side & UpDn,null
LEAN,null,null,null,eyebrow movement,side & UpDn,TILT
LEAN,null,null,null,eyebrow movement,side & UpDn,TILT
LEAN,null,null,null,eyebrow movement,side & UpDn,TILT
LEAN,null,null,//,eyebrow movement,side & UpDn,TILT
LEAN,null,null,//,eyebrow movement,side,TURN
null,null,null,null,null,side,TURN
null,null,null,null,null,side > +hands,TURN
null,null,null,//,null,+hands > side,TURN
null,null,null,//,null,side,TURN
LEAN,null,null,null,null,side,TURN
LEAN,CA,null,null,eyebrow movement,side,Headshake
LEAN,null,null,CLOSED,eyebrow movement,side,PUSH
LEAN,CA,null,CLOSED,eyebrow movement,side,PUSH
LEAN,null,null,null,null,side,TURN
LEAN,null,null,null,null,side,TURN
LEAN,null,null,null,null,side,TURN & PUSH
LEAN,CA,null,CLOSED,eyebrow movement,side,PUSH
null,null,null,SQ,eyebrow movement,side,null
null,CA,null,SQ,eyebrow movement,side,null
null,CA,null,SQ,eyebrow movement,side,null
null,CA,null,SQ,eyebrow movement,side,null
null,CA,null,SQ,eyebrow movement,side,TILT
null,CA,null,SQ,eyebrow movement,side,TILT
LEAN,CA,cheek movement,//,null,side,TILT > PUSH
LEAN,CA,null,null,null,side,TILT
LEAN,CA,null,CLOSED,eyebrow movement,side,TILT
null,CA,null,null,eyebrow movement,side,TILT
null,null,cheek movement,null,eyebrow movement,side,Headnod
null,CA,cheek movement,CLOSED,eyebrow movement,side,Headnod
null,CA,null,CLOSED,eyebrow movement,null,TILT
null,CA,null,CLOSED,eyebrow movement,null,TILT
null,CA,null,CLOSED,eyebrow movement,null,Headnod
null,CA,null,CLOSED,eyebrow movement,side,Headnod
null,CA,null,null,eyebrow movement,side,Headnod
null,CA,null,null,eyebrow movement,side,TILT
null,null,null,//,eyebrow movement,side,TILT
LEAN,CA,cheek movement,//,eyebrow movement,side & UpDn,TILT > TURN
LEAN,CA,cheek movement,//,null,side & UpDn,TURN
LEAN,null,null,null,null,+dh,null
LEAN,null,null,null,null,+dh,TURN
LEAN,null,null,null,null,side,TURN
LEAN,CA,null,WD > //,eyebrow movement,side,TURN
TWIST,null,null,//,eyebrow movement,side > +hands,TURN > TILT
TWIST,null,cheek movement,SQ,eyebrow movement,+hands,TILT
TWIST,null,cheek movement,SQ > //,eyebrow movement,+dh > +hands,TURN
