Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
"{Eyegaze_sr_nmf=1,Head_PUSH_nmf=1,head_forward_nmf=1} ", {CA_gc=1},2%,67%,0.025092004,1.910515,50,1.953162,0.17877106,0.046816479,0.00,1.3888889,1
"{Body_forward_nmf=1,Eyebrows_Furrowed_nmf=1,head_latral_nmf=1} ", {CA_gc=1},2%,67%,0.025092004,1.910515,50,1.953162,0.17877106,0.046816479,0.00,1.3888889,1
{Eyegaze_camera_nmf=1} , {Noun_Dom_gc=1},7%,37%,0.197724992,1.345353,216,1.147859,0.31180423,0.181971356,0.00,1.1803279,1
"{Eyebrows_Furrowed_nmf=1,Eyegaze_sr_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},1%,82%,0.011375042,2.360047,28,3.689305,0.14868817,0.026692088,0.00,1.5555556,1
"{Body_LEAN_nmf=1,Body_latral_nmf=1,Head_TURN_nmf=1} ", {CA_gc=1},7%,47%,0.148879224,1.339507,208,1.222443,0.3053101,0.1625,0.00,1.1751412,1
"{Body_forward_nmf=1,Eyegaze_dn_nmf=1,head_forward_nmf=1} ", {CA_gc=1},4%,53%,0.068584811,1.523752,109,1.390271,0.23572596,0.095697981,0.00,1.2528736,1
"{Body_LEAN_nmf=1,Eyegaze_sl_nmf=1,head_latral_nmf=1} ", {CA_gc=1},5%,49%,0.112746738,1.394619,164,1.268238,0.27662202,0.134868421,0.00,1.1970803,1
"{Body_LEAN_nmf=1,Head_PUSH_nmf=1,head_forward_nmf=1} ", {Verb_Dom_gc=1},4%,54%,0.06523921,1.534282,105,1.406267,0.23215832,0.092186128,0.00,1.25,1
"{Body_latral_nmf=1,Head_PUSH_nmf=1,head_forward_nmf=1} ", {CA_gc=1},2%,64%,0.028103044,1.842282,54,1.822951,0.1824366,0.050326188,0.00,1.3846154,1
"{EyeAp_WD_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},2%,67%,0.023419204,1.924161,47,1.981468,0.17394289,0.044090056,0.00,1.3823529,1
"{Eyegaze_sr_nmf=1,head_latral_nmf=1} ", {CA_gc=1},8%,45%,0.18668451,1.289084,251,1.183349,0.32901407,0.185925926,0.00,1.1513761,1
"{Eyebrows_Furrowed_nmf=1,Head_TURN_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},1%,86%,0.009367681,2.456376,24,4.557377,0.14043976,0.022922636,0.00,1.5,1
"{Eyegaze_dn_nmf=1,Eyegaze_sr_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},1%,72%,0.017731683,2.054704,38,2.30039,0.16162313,0.035916824,0.00,1.4074074,1
"{Body_LEAN_nmf=1,Eyegaze_sl_nmf=1} ", {CA_gc=1},8%,45%,0.180327869,1.29199,243,1.185534,0.32409306,0.181478715,0.00,1.1462264,1
"{Body_latral_nmf=1,head_latral_nmf=1} ", {CA_gc=1},11%,43%,0.25158916,1.234721,324,1.143908,0.36584231,0.220258328,0.00,1.1211073,1
"{Eyegaze_dn_nmf=1,Head_PUSH_nmf=1,head_forward_nmf=1} ", {Verb_Dom_gc=1},3%,56%,0.052860488,1.586997,88,1.464991,0.21615555,0.078641644,0.00,1.2753623,1
"{Body_forward_nmf=1,head_forward_nmf=1} ", {Verb_Dom_gc=1},5%,50%,0.098360656,1.414998,146,1.289322,0.26290052,0.121971596,0.00,1.2066116,1
