,,,,,,,,,,,,,,,,
,"Cite: Smith, R. G., & Hofmann, M. (2020). A Lexical Frequency Analysis of Irish Sign Language. TEANGA, the Journal of the Irish Association for Applied Linguistics, 11, 18–47. https://doi.org/10.35903/teanga.v11i1.162",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Sign frequency list for the entire SOI corpus. This list has not been processed for alternates, ",,,,,,,,,,,,,,,
,"e.g., row 1: Index+me, 5: INDEX-Me, 10: INDEX+ME*, 17: INDEX-Me*",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Lexical Gloss,Freq,% of unique glosses,% of all glosses,per 1000 words,,,,,,,,,,,
163,SAID,11,0.27%,0.10%,1.0,,,,,,,,,,,
164,SHOCK,11,0.27%,0.10%,1.0,,,,,,,,,,,
165,SHOW,11,0.27%,0.10%,1.0,,,,,,,,,,,
166,SON,11,0.27%,0.10%,1.0,,,,,,,,,,,
167,STOP,11,0.27%,0.10%,1.0,,,,,,,,,,,
168,SURE,11,0.27%,0.10%,1.0,,,,,,,,,,,
169,WEEK,11,0.27%,0.10%,1.0,,,,,,,,,,,
170,WILL,11,0.27%,0.10%,1.0,,,,,,,,,,,
171,WINDOW,11,0.27%,0.10%,1.0,,,,,,,,,,,
172,BEAUTIFUL,10,0.25%,0.09%,0.9,,,,,,,,,,,
173,BUILD,10,0.25%,0.09%,0.9,,,,,,,,,,,
174,HEAR,10,0.25%,0.09%,0.9,,,,,,,,,,,
175,INDEX-2,10,0.25%,0.09%,0.9,,,,,,,,,,,
176,LOST,10,0.25%,0.09%,0.9,,,,,,,,,,,
177,OLD,10,0.25%,0.09%,0.9,,,,,,,,,,,
178,PEOPLE,10,0.25%,0.09%,0.9,,,,,,,,,,,
179,PLAN,10,0.25%,0.09%,0.9,,,,,,,,,,,
180,PROBLEM,10,0.25%,0.09%,0.9,,,,,,,,,,,
181,SECOND,10,0.25%,0.09%,0.9,,,,,,,,,,,
182,THAT,10,0.25%,0.09%,0.9,,,,,,,,,,,
183,THINK*,10,0.25%,0.09%,0.9,,,,,,,,,,,
184,WENT-OFF,10,0.25%,0.09%,0.9,,,,,,,,,,,
185,WHEN,10,0.25%,0.09%,0.9,,,,,,,,,,,
186,ASK,9,0.22%,0.08%,0.8,,,,,,,,,,,
187,DUBLIN,9,0.22%,0.08%,0.8,,,,,,,,,,,
188,FOUR,9,0.22%,0.08%,0.8,,,,,,,,,,,
189,HOT,9,0.22%,0.08%,0.8,,,,,,,,,,,
190,INDEX +sl,9,0.22%,0.08%,0.8,,,,,,,,,,,
191,"INDEX+f,lo",9,0.22%,0.08%,0.8,,,,,,,,,,,
192,IRISH,9,0.22%,0.08%,0.8,,,,,,,,,,,
193,MEET,9,0.22%,0.08%,0.8,,,,,,,,,,,
194,MOTHER^FATHER,9,0.22%,0.08%,0.8,,,,,,,,,,,
195,NEED,9,0.22%,0.08%,0.8,,,,,,,,,,,
196,OKAY,9,0.22%,0.08%,0.8,,,,,,,,,,,
197,SURPRISE,9,0.22%,0.08%,0.8,,,,,,,,,,,
198,THOUGHT,9,0.22%,0.08%,0.8,,,,,,,,,,,
199,TIRED,9,0.22%,0.08%,0.8,,,,,,,,,,,
200,*OK,8,0.20%,0.07%,0.7,,,,,,,,,,,
201,ALRIGHT,8,0.20%,0.07%,0.7,,,,,,,,,,,
202,BAD,8,0.20%,0.07%,0.7,,,,,,,,,,,
203,BLACK,8,0.20%,0.07%,0.7,,,,,,,,,,,
204,CLOTHES,8,0.20%,0.07%,0.7,,,,,,,,,,,
205,DAUGHTER,8,0.20%,0.07%,0.7,,,,,,,,,,,
206,DEAF*,8,0.20%,0.07%,0.7,,,,,,,,,,,
207,DECIDE,8,0.20%,0.07%,0.7,,,,,,,,,,,
208,EAT,8,0.20%,0.07%,0.7,,,,,,,,,,,
209,END,8,0.20%,0.07%,0.7,,,,,,,,,,,
210,GREAT,8,0.20%,0.07%,0.7,,,,,,,,,,,
211,INDEX +fr,8,0.20%,0.07%,0.7,,,,,,,,,,,
212,INDEX+fl+hi,8,0.20%,0.07%,0.7,,,,,,,,,,,
213,INDEX+fr*,8,0.20%,0.07%,0.7,,,,,,,,,,,
214,INJECTION,8,0.20%,0.07%,0.7,,,,,,,,,,,
215,IT,8,0.20%,0.07%,0.7,,,,,,,,,,,
216,LOVE,8,0.20%,0.07%,0.7,,,,,,,,,,,
217,NEAR,8,0.20%,0.07%,0.7,,,,,,,,,,,
218,OVER,8,0.20%,0.07%,0.7,,,,,,,,,,,
219,READY,8,0.20%,0.07%,0.7,,,,,,,,,,,
220,RELIEF,8,0.20%,0.07%,0.7,,,,,,,,,,,
221,RUN,8,0.20%,0.07%,0.7,,,,,,,,,,,
222,SHOUT,8,0.20%,0.07%,0.7,,,,,,,,,,,
223,SILENCE,8,0.20%,0.07%,0.7,,,,,,,,,,,
224,SOME,8,0.20%,0.07%,0.7,,,,,,,,,,,
225,STUCK,8,0.20%,0.07%,0.7,,,,,,,,,,,
226,SWIM,8,0.20%,0.07%,0.7,,,,,,,,,,,
227,TAKE,8,0.20%,0.07%,0.7,,,,,,,,,,,
228,THEN,8,0.20%,0.07%,0.7,,,,,,,,,,,
229,THEY,8,0.20%,0.07%,0.7,,,,,,,,,,,
230,THROUGH,8,0.20%,0.07%,0.7,,,,,,,,,,,
231,WAKE-UP,8,0.20%,0.07%,0.7,,,,,,,,,,,
232,WAR,8,0.20%,0.07%,0.7,,,,,,,,,,,
233,gesture 2x CL-5 PALMS UP,8,0.20%,0.07%,0.7,,,,,,,,,,,
234,gesture 2x CL-5 palms up,8,0.20%,0.07%,0.7,,,,,,,,,,,
235,*CIE,7,0.17%,0.06%,0.6,,,,,,,,,,,
236,*SNOW,7,0.17%,0.06%,0.6,,,,,,,,,,,
237,ALWAYS,7,0.17%,0.06%,0.6,,,,,,,,,,,
238,BARMAN,7,0.17%,0.06%,0.6,,,,,,,,,,,
239,BOMB,7,0.17%,0.06%,0.6,,,,,,,,,,,
240,BUT*,7,0.17%,0.06%,0.6,,,,,,,,,,,
241,CL-INDEX THUMB EXTENDED +me,7,0.17%,0.06%,0.6,,,,,,,,,,,
242,CL-ISL-L +me,7,0.17%,0.06%,0.6,,,,,,,,,,,
243,CLIMB-UP,7,0.17%,0.06%,0.6,,,,,,,,,,,
244,COME-BACK,7,0.17%,0.06%,0.6,,,,,,,,,,,
245,DISCUSS,7,0.17%,0.06%,0.6,,,,,,,,,,,
246,DON'T-KNOW,7,0.17%,0.06%,0.6,,,,,,,,,,,
247,DOOR,7,0.17%,0.06%,0.6,,,,,,,,,,,
248,EIGHT,7,0.17%,0.06%,0.6,,,,,,,,,,,
249,ENGLAND,7,0.17%,0.06%,0.6,,,,,,,,,,,
250,EXAMINE,7,0.17%,0.06%,0.6,,,,,,,,,,,
251,EXPLAIN,7,0.17%,0.06%,0.6,,,,,,,,,,,
252,FRIGHT,7,0.17%,0.06%,0.6,,,,,,,,,,,
253,GIVE,7,0.17%,0.06%,0.6,,,,,,,,,,,
254,HAPPEN,7,0.17%,0.06%,0.6,,,,,,,,,,,
255,HAVE*,7,0.17%,0.06%,0.6,,,,,,,,,,,
256,HE,7,0.17%,0.06%,0.6,,,,,,,,,,,
257,HOTEL,7,0.17%,0.06%,0.6,,,,,,,,,,,
