Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine
"{Eyebrows.value=eyebrow movement,Head.value=TURN} ", {CA.value=CA},0.06,0.40,0.16,1.28,190,1.15,0.16
"{Eyebrows.value=null,Head.value=TURN} ", {Eye_Ap.value=null},0.07,0.52,0.14,1.28,212,1.24,0.15
"{Eyebrows.value=null,Eyegaze.value=side & UpDn} ", {Head.value=TURN},0.05,0.38,0.12,1.28,138,1.13,0.12
"{Eyebrows.value=null,Head.value=TURN} ", {Eyegaze.value=side & UpDn},0.05,0.34,0.14,1.28,138,1.11,0.13
"{Body_value=null,Cheeks.value=null} ", {Eye_Ap.value=//},0.07,0.20,0.37,1.28,218,1.05,0.16
"{Body_value=LEAN,Head.value=null} ", {CA.value=null},0.03,0.83,0.04,1.28,94,2.08,0.05
"{Cheeks.value=null,Eyegaze.value=+camera} ", {Head.value=TILT},0.05,0.39,0.12,1.28,140,1.14,0.12
{Eyegaze.value=+camera} , {Head.value=TILT},0.05,0.39,0.12,1.28,141,1.14,0.12
{Head.value=TILT} , {Eyegaze.value=+camera},0.05,0.15,0.31,1.28,141,1.04,0.12
"{CA.value=null,Cheeks.value=null} ", {Head.value=null},0.10,0.16,0.64,1.27,307,1.04,0.16
"{CA.value=null,Eyebrows.value=eyebrow movement} ", {Eye_Ap.value=WD},0.04,0.14,0.31,1.27,128,1.03,0.11
"{Eye_Ap.value=null,Eyebrows.value=eyebrow movement} ", {Eyegaze.value=side & UpDn},0.06,0.34,0.17,1.27,176,1.11,0.15
"{Body_value=LEAN,Eyegaze.value=side & UpDn} ", {CA.value=CA},0.06,0.40,0.14,1.27,167,1.14,0.14
"{Body_value=LEAN,Head.value=PUSH} ", {Eyebrows.value=eyebrow movement},0.03,0.67,0.05,1.27,100,1.43,0.06
"{CA.value=null,Eyegaze.value=+camera} ", {Body_value=null},0.05,0.47,0.11,1.27,150,1.19,0.12
{Eye_Ap.value=//} , {Body_value=null},0.07,0.47,0.16,1.27,219,1.19,0.16
{Body_value=null} , {Eye_Ap.value=//},0.07,0.20,0.37,1.27,219,1.05,0.16
"{Body_value=null,Eyebrows.value=null} ", {CA.value=null},0.15,0.82,0.18,1.26,434,1.98,0.21
"{Eyebrows.value=null,Eyegaze.value=+interlocutor1} ", {CA.value=null},0.03,0.82,0.04,1.26,98,1.98,0.05
"{Body_value=LEAN,Eyegaze.value=side & UpDn} ", {Head.value=TURN},0.05,0.37,0.14,1.26,156,1.12,0.14
"{CA.value=CA,Head.value=TURN} ", {Eyegaze.value=side & UpDn},0.04,0.33,0.11,1.26,105,1.10,0.10
"{Body_value=null,Eye_Ap.value=//} ", {CA.value=null},0.06,0.82,0.07,1.26,179,1.91,0.09
"{Cheeks.value=null,Eye_Ap.value=WD} ", {Body_value=LEAN},0.06,0.58,0.10,1.25,180,1.29,0.12
{Eye_Ap.value=WD} , {Body_value=LEAN},0.06,0.58,0.11,1.25,187,1.29,0.12
{Body_value=LEAN} , {Eye_Ap.value=WD},0.06,0.13,0.47,1.25,187,1.03,0.12
"{Cheeks.value=null,Eye_Ap.value=null} ", {Eyegaze.value=side},0.10,0.25,0.40,1.25,292,1.07,0.20
"{Body_value=null,Head.value=null} ", {CA.value=null},0.06,0.82,0.08,1.25,191,1.90,0.10
"{Eye_Ap.value=null,Head.value=TILT} ", {Eyebrows.value=null},0.07,0.60,0.13,1.25,223,1.30,0.14
"{Eye_Ap.value=null,Eyegaze.value=side} ", {Body_value=null},0.05,0.46,0.10,1.25,136,1.18,0.11
"{CA.value=null,Eyegaze.value=+interlocutor1} ", {Eyebrows.value=null},0.03,0.59,0.06,1.25,98,1.29,0.07
{Head.value=null} , {CA.value=null},0.10,0.81,0.13,1.25,308,1.86,0.15
{CA.value=null} , {Head.value=null},0.10,0.16,0.65,1.25,308,1.04,0.15
"{Body_value=LEAN,Eyebrows.value=null} ", {Head.value=TILT},0.09,0.38,0.23,1.25,262,1.12,0.20
"{Cheeks.value=null,Head.value=null} ", {CA.value=null},0.10,0.81,0.13,1.25,307,1.86,0.15
"{CA.value=null,Eyegaze.value=side} ", {Eye_Ap.value=null},0.05,0.51,0.11,1.25,163,1.20,0.12
"{Body_value=LEAN,Eyebrows.value=null} ", {Eye_Ap.value=null},0.12,0.51,0.23,1.25,348,1.20,0.22
"{CA.value=null,Head.value=TURN} ", {Eyegaze.value=side & UpDn},0.06,0.33,0.18,1.24,177,1.10,0.15
